,id,reviews,rating
23,8038720,"I gave it a watch based on the two lead actors being involved in decent stuff in the past... lost interest during the ridiculous BMW/Audi chase, and turned it off at the stake out of the garage... script is absolute garbage!!! 28 out of 60 found this helpful. Was this review helpful? Sign in to vote. Permalink",1
24,8038720,"Plot holes and unlikely shootiness in London Town but rescued by the two leads. Charming, funny lads with entertaining banter and imperfect private lives. I think I will stick with it. 15 out of 29 found this helpful. Was this review helpful? Sign in to vote. Permalink",9
25,8038720,"This show had a great Pilot in my opinion, giving you an understanding of both the main characters and their partnership together. It was action pact, not overly dramatic, moments to laugh and really captured the culture of London and what it's like to be from there. I recommend giving it a chance to watch and for it to develop before you criticise on the way it is just because people may not understand the culture behind it. 27 out of 58 found this helpful. Was this review helpful? Sign in to vote. Permalink",8
26,8038720,"Growing up with the cops & robbers classic TV series of the 70's - The Sweeney, The Professionals & Starsky & Hutch etc, I was never a massive fan of the duo format except for liking the characters enough to watch. I never followed a storyline, too much testosterone. This time around, Bulletproof came recommended by word of mouth. I dismissed it out of hand, until I was assured the banter between Pike & Bishop was worth it. I trust the previous work of Noel Clarke & Ashley Walters so went in. What a treat. Sometimes you just want entertainment with an edge. Bulletproof is hardcore police work interspersed with personal day to day issues we can all relate to. The chemistry between Pike & Bish' jumps right off the screen. By episode 3, I had become fully invested. Their relationships with colleagues was plausible. I decided I would watch those bits and ignore the gratifying shoot 'em up scenes. Well, that didn't last I couldn't tear myself away! The storylines had me gripped and the series became a white knuckle ride. Mostly because the maverick nature of these characters meant the plot twists caught me off guard at every turn. That is not easy with me. Series 2 followed right behind the last episode - like a good book you can't put down. This excelled supplying high octane action with women in pivotal roles balanced by the the necessary misogyny in such shows, the love interests and round up of some of the crime stories - which we all like to see. Only negative? Every time Bish' came running around the corner or with his pants down I half expect to see Kano (😉). The writing is excellent as is the script. Nothing cheesy. Less forensic thankfully!!! Clarke & Walters are a force to be reckoned with. Big tick. 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink",1
27,8038720,"Underrated action thriller based on the buddy cop format - whilst a lot of the tropes will be familiar, it's difficult to not find the characters charismatic, funny and sharp. The two primary characters riff off of each other in a way that makes it impossible to not crack a smile. Action scenes are well put together and enjoyable against the stark backdrop of South London. Surprised this hasn't got a higher end rating to be honest, it's an undeniably fun watch. 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink",7
28,8038720,"Liked the first series. Loved the second. Yeah, if you're looking for a gritty and accurate description of police work, you're definitely looking in the wrong place. But if you're looking for a humorous depiction of 2020 Britain, with engaging characters and a fun plot, this is going to be right in your wheelhouse. Totally brilliant entertainment. 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink",1
29,8038720,"Bulletproof is a UK take on Bad Boys. Its not a bad series either. Bulletproof captures the vibe found in the Martin Lawrence, Will Smith team up from the mid 1990's. Its a gun toting, fast cars, hard crime, mash up. The main characters, like Lawrence and Smith's, are ""yin to the others yang"". One an established family man, the other an on the make bachelor.This helps to establish the dynamic that exists between the two. The clever banter is there too. Much of it comedic and predictable but written well enough to actually offer some depth to the characterisations, as well. Suffice to say, this is a quality formula that works just as well in a UK context. Indeed, its interesting to see British and I suspect, London cultural nuances, found in this series, as opposed to the US product. 7/10 from me. 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink",7
30,8038720,"It's a British version of Bad Boys in short. It's completely unbelievable and over the top but that makes for great entertainment, I like it alot. The two main characters really bounce off each other, there's plenty of humour. 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink",8
31,8038720,"The title says it all... Liked how Bish and Pike bounce off each other, reminded me of will Smith and Martin Laurence... Hoping for a season 3 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink",8
32,8038720,"This could have been epic, based around NCA (National Crime Agency), this had potential to be the new Dempsey and makepeace genre of tv drama. So many goofs all the way through, factual errors, vehicle errors, police and law procedural errors, csi errors, weapon errors all the way through. It perhaps should have been marketed as a comedy and they would have half got it right! 28 out of 62 found this helpful. Was this review helpful? Sign in to vote. Permalink",2
33,8038720,"Just when you thought the 1970s were buried and forgotten, this offensive collection of worn out cliches comes along to let you know that - actually - the 'buddy cop' genre will never go away and leave us alone! Scripted by a class of ten-year-old boys, this reprehensible dross resurrects every known cop cliche in the book almost as if it's a deliberate parody of cop shows. Maybe it is and I'm just too thick to get the joke! 22 out of 48 found this helpful. Was this review helpful? Sign in to vote. Permalink",2
34,5660206,"SPIDER WOMAN is a low budget Thai horror film based on local legends. It's a derivative piece of work, with lots of villagers wandering around and interacting and very little horror content, aside from an old witch spouting curses. There is some atmosphere built up along the way, but the scares are subdued and the attempts at horror are distinctly half-hearted. This is a far cry from the kind of full-blooded horror that South East Asia used to make in the 1970s and '80s. 3 out of 3 found this helpful. Was this review helpful? Sign in to vote. Permalink",3
35,5660206,"Despite the low budget and inferior special effects this movie is very well made. The acting is much better than you would expect, the camerawork and lighting superb, the story and script strong. The suspense was enough to keep me engrossed. Plenty of sexy eye candy helped my enjoyment of this excellent offering from Thailand. 0 out of 1 found this helpful. Was this review helpful? Sign in to vote. Permalink",7
